Date,RegionName,DaysOnZillow_AllHomes,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_1Bedroom,MedianListingPricePerSqft_2Bedroom,MedianListingPricePerSqft_3Bedroom,MedianListingPricePerSqft_4Bedroom,MedianListingPricePerSqft_5BedroomOrMore,MedianListingPricePerSqft_AllHomes,MedianListingPricePerSqft_CondoCoop,MedianListingPricePerSqft_DuplexTriplex,MedianListingPricePerSqft_SingleFamilyResidence,MedianListingPrice_1Bedroom,MedianListingPrice_2Bedroom,MedianListingPrice_3Bedroom,MedianListingPrice_4Bedroom,MedianListingPrice_5BedroomOrMore,MedianListingPrice_AllHomes,MedianListingPrice_CondoCoop,MedianListingPrice_DuplexTriplex,MedianListingPrice_SingleFamilyResidence,MedianPctOfPriceReduction_AllHomes,MedianPctOfPriceReduction_CondoCoop,MedianPctOfPriceReduction_SingleFamilyResidence,MedianPriceCutDollar_AllHomes,MedianPriceCutDollar_CondoCoop,MedianPriceCutDollar_SingleFamilyResidence,MedianRentalPricePerSqft_1Bedroom,MedianRentalPricePerSqft_2Bedroom,MedianRentalPricePerSqft_3Bedroom,MedianRentalPricePerSqft_4Bedroom,MedianRentalPricePerSqft_5BedroomOrMore,MedianRentalPricePerSqft_AllHomes,MedianRentalPricePerSqft_CondoCoop,MedianRentalPricePerSqft_DuplexTriplex,MedianRentalPricePerSqft_MultiFamilyResidence5PlusUnits,MedianRentalPricePerSqft_SingleFamilyResidence,MedianRentalPricePerSqft_Studio,MedianRentalPrice_1Bedroom,MedianRentalPrice_2Bedroom,MedianRentalPrice_3Bedroom,MedianRentalPrice_4Bedroom,MedianRentalPrice_5BedroomOrMore,MedianRentalPrice_AllHomes,MedianRentalPrice_CondoCoop,MedianRentalPrice_DuplexTriplex,MedianRentalPrice_MultiFamilyResidence5PlusUnits,MedianRentalPrice_SingleFamilyResidence,MedianRentalPrice_Studio,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfHomesSellingForGain_AllHomes,PctOfHomesSellingForLoss_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_CondoCoop,PctOfListingsWithPriceReductionsSeasAdj_SingleFamilyResidence,PctOfListingsWithPriceReductions_AllHomes,PctOfListingsWithPriceReductions_CondoCoop,PctOfListingsWithPriceReductions_SingleFamilyResidence,PriceToRentRatio_AllHomes,Sale_Counts,Sale_Counts_Seas_Adj,Sale_Prices,ZHVI_1bedroom,ZHVI_2bedroom,ZHVI_3bedroom,ZHVI_4bedroom,ZHVI_5BedroomOrMore,ZHVI_AllHomes,ZHVI_BottomTier,ZHVI_CondoCoop,ZHVI_MiddleTier,ZHVI_SingleFamilyResidence,ZHVI_TopTier,ZRI_AllHomes,ZRI_AllHomesPlusMultifamily,ZriPerSqft_AllHomes,Zri_MultiFamilyResidenceRental,Zri_SingleFamilyResidenceRental
2010-01-31,Montana,135,5286,4442,220.606209753497,150.238370249581,145.78125,155.607476635514,157.418546365915,153.116743044729,,136.035860456051,153.14371257485,149900,179000,240000,299900,399000,254900,,231700,259900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,345,659,,144800,156800,192200,216700,257900,185300,136200,169100,185300,187100,290400,,,,,
2010-01-31,Nebraska,127.5,7140,5914,,,100,93.7777777777778,93.9226519337017,99.272005294507,118.637724550898,,98.5737996653293,,,131400,2E+05,,,,142500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,32.75,55.7,,,,,,,,,,755,1579,1.21E+05,72000,89400,129200,196700,173200,124700,72800,122500,124700,124600,204800,,,,,
2010-01-31,Nevada,115,23284,22408,,,87.5499334221039,89.934048763654,102.918032786885,91.4268585131894,,,91.9291338582677,,,,,,,,199000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,96.46,2.79,,,,,,,,,,4172,5711,1.3E+05,,97000,140600,191700,272500,150200,83600,83100,150200,164600,263300,,,,,
2010-01-31,NewHampshire,118,12870,10798,160.733444187392,135.965547509326,136.05063954042,138.528258260479,114.194767158425,140.625,143.948126801153,80.8566433566434,140.170616366378,,169900,239000,365000,382450,249000,181900,200950,254900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,63.56,26.18,,,,,,,,,,,,,115200,166900,225300,292900,332100,210300,139500,165600,210300,225300,321700,,,,,
2010-01-31,NewJersey,178.5,66998,58974,,228.695262719695,197.264405501266,189.228002956388,205.403200185967,186.668950146479,245.833333333333,,180.079393720678,,241000,,,,,279000,299000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,73.4,17.09,,,,,,,,,,5335,7301,270900,203100,229500,281500,389200,512400,299400,185600,243200,299400,303000,504600,,,,,
2010-01-31,NewMexico,132,12870,11846,215.308779761905,137.563036648091,126.16608234448,146.368929905515,158.304554712004,135.909090909091,220.27972027972,90.9744942832014,134.637533481353,175000,169900,2E+05,307500,444475,226500,211250,189900,228000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,1031,1513,,,130800,161700,236500,319900,179800,120200,,179800,179800,319600,,,,,
2010-01-31,NewYork,196,97944,87153,273.28125,178.146524733876,128.300733496333,130.906926406926,140.709791448788,176.846590909091,,181.727272727273,161.298245614035,224990,249000,269000,375000,515000,,,459000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,58.34,32.44,,,,,,,,,,,,,155800,125100,141100,225100,337100,267700,103600,439700,267700,245300,525400,,,,,
2010-01-31,NorthCarolina,162,90458,82151,192.857142857143,109.141925894824,104.135338345865,113.436374996281,131.355326050969,110.135304391852,132.608695652174,,109.478851963746,,124900,165000,285000,450000,189900,165000,,190000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,58.28,30.2,,,,,,,,,,5437,8377,1.51E+05,105400,100200,142200,248000,319100,144400,82900,130000,144400,145400,276400,,,,,
2010-01-31,SouthCarolina,180,48746,44952,199.722499537807,109.061135371179,103.910891089109,119.045863272845,154.901870389884,112.466246624662,156.225470957614,101.351351351351,109.96,,124944,165000,279900,524900,189000,179000,,189000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,48.89,39.25,,,,,,,,,,3734,5597,131400,94900,101900,139900,230400,,130600,72300,138500,130600,130100,256400,,,,,
2010-01-31,SouthDakota,,3427,2900,,111.842105263158,99.59015169613,96.2346760070052,101.854115729421,102.114839693181,102.267699115044,,102.029914529915,,137900,159900,199900,303950,174900,178950,,174900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,89200,123900,141300,168100,217200,142200,101500,140500,142200,142200,220800,,,,,
2010-01-31,Tennessee,150,56155,51442,,99.0234453700913,92.531458855472,96.6608084358524,105.480116033755,99.1051454138702,114.191965496313,65.2801948051948,98.125,,109900,139900,244995,365000,159800,171000,140950,,,,,,,,,,,,,,,,,,,,,870,,,950,,,750,,,78,,,,,,,,,,,,5469,7990,114600,105000,88900,126400,215900,324500,118300,64500,137000,118300,117500,221100,,,,,
2010-01-31,Texas,121,159707,149209,,90.7949529978219,80.5886475122635,84.6465157364066,99.8622115053393,85.2272727272727,119.497607655502,69.8246401078962,84.5227858985383,,105000,129900,209900,369000,160000,,,161110,,,,,,,,,,,,0.792811839323467,,,,,,,,,,,,,,,,,73,,,81.67,18.33,,,,,,,,14350,23960,,,,116400,191500,,127600,,,127600,128100,236000,,,,,
2010-01-31,Wisconsin,173,42735,36568,137.055837563452,115,108.863636363636,101.804778851042,,110.793559662312,124.916666666667,63.991646778043,107.768651608487,114900,135900,165900,,,,170000,119500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,56.48,31.21,,,,,,,,,,3321,5872,140400,108200,118600,151000,192000,223300,151700,96000,141400,151700,152800,245200,,,,,
2010-01-31,Wyoming,132.5,2661,2138,,135.553834237026,119.525256964281,113.533729265445,113.34089191232,126.708414104294,,,126.160535117057,,149000,2E+05,269000,369900,219900,,,220000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,,,,,,,,,,,,189,361,192300,,,,248600,,202400,136200,180500,202400,203000,,,,,,
2010-02-28,Alabama,162.625,32743,30906,,101.450676982592,93.0062041737169,103.801488217732,111.152268598794,96.1538461538462,,,94.0420194418313,,118000,145000,250000,399900,169900,,149900,168000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,58.39,32.8,,,,,,,,,,2307,3083,,89300,77200,123200,228500,332000,120300,66000,134400,120300,119900,228800,,,,,
2010-02-28,Alaska,148.5,3466,2772,182.03125,162.41593147921,154.224834680382,145.072536268134,121.897163120567,153.310569938202,154.224834680382,117.015050167224,150.922899900595,113000,174900,239650,315000,399450,241250,199900,350000,260000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,,,,,,,,,,,,,,,128200,175100,250000,314500,414300,243400,172100,174000,243400,252900,348900,,,,,
2010-02-28,Arizona,119,51169,51753,,,,,,,,,,,,,,,,,,,,,,,,,,0.962548708984304,0.807016129749026,,,,1.10123227661851,,,,,,,,,,,,,997.5,,1500,99,91.87,5.55,,,,,,,,,,9217,11361,134300,94500,138400,148500,199900,310100,158900,94400,119800,158900,166100,295700,,,,,
2010-02-28,Arkansas,134.625,18413,17690,,81.1875,86.2429281483246,95.7268539701835,96.4516129032258,88.3105802047782,103.92,59.1347902988375,88.0850231488143,94500,89900,130000,219900,315000,142500,155000,145000,141900,,,,,,,,,,,,0.6061872909699,,,,0.6061872909699,,,,,,,875,,,,875,,68,40.91,48.71,,,,,,,,,,1654,2237,,83300,87200,126700,216700,335500,105800,58700,126100,105800,105700,184100,,,,,
2010-02-28,California,108.75,137666,130348,,,,,,,,183.862155915108,,,,,,,,,379000,,,,,,,,,1.67322834645669,,,,1.66223404255319,1.74671519194501,,1.72676713659165,1.59838977030547,,,2100,,,,,2200,,,,,219,70.89,21.96,54.88,45.12,,,,,,,,27213,37933,261400,220300,273500,315100,414200,565800,336500,163500,315600,336500,341300,655300,,,,,
